Run,Step,InCave,InMarket,InTown,Update,CurrentState,SafeChoice,SafeCount
1,0,0,0,0,toMarket,0,0,0
1,1,0,0,0,toMarket,0,0,0
1,2,0,1,0,toMarket,0,0,0
1,3,0,1,1,toMarket,0,1,0
1,4,0,0,0,toMarket,0,0,0
1,5,0,0,0,toMarket,0,1,0
1,6,0,1,1,toMarket,0,1,0
1,7,0,1,0,toMarket,0,0,0
1,8,0,1,0,toMarket,0,1,0
1,9,0,0,1,toMarket,0,0,1
1,10,0,0,1,toMarket,0,1,2
1,11,0,0,1,toMarket,0,1,3
1,12,0,0,1,toMarket,0,1,4
1,13,0,0,1,toMarket,0,1,5
1,14,0,0,1,toMarket,0,1,6
2,0,0,0,0,toMarket,0,0,0
2,1,0,0,0,toMarket,0,0,0
2,2,0,0,0,toMarket,0,0,0
2,3,0,0,0,toMarket,0,0,0
2,4,0,0,0,toMarket,0,1,1
2,5,0,0,0,toMarket,0,0,1
2,6,0,0,0,toMarket,0,0,1
2,7,1,0,0,toMarket,0,0,1
2,8,1,0,0,toMarket,0,0,1
2,9,1,0,0,toMarket,0,0,1
2,10,1,0,0,toMarket,0,1,1
2,11,1,0,1,toMarket,0,0,1
2,12,0,0,0,toMarket,0,0,1
2,13,0,0,0,toMarket,0,1,2
2,14,0,0,1,toMarket,0,1,2
3,0,0,0,0,toMarket,0,0,0
3,1,0,0,0,toMarket,0,0,0
3,2,0,0,0,toMarket,0,0,0
3,3,0,0,0,toMarket,0,1,0
3,4,0,0,0,toMarket,0,0,0
3,5,0,0,0,toMarket,0,0,0
3,6,0,0,0,toMarket,0,0,0
3,7,0,0,0,toMarket,0,0,0
3,8,0,0,0,toMarket,0,1,0
3,9,0,0,0,toMarket,0,0,0
3,10,0,0,0,toMarket,0,1,0
3,11,0,0,0,toMarket,0,1,0
3,12,0,1,1,toMarket,0,1,0
3,13,0,1,1,toMarket,0,0,1
3,14,0,1,1,toMarket,0,0,1
4,0,0,0,0,toMarket,0,0,0
4,1,0,0,0,toMarket,0,0,0
4,2,0,0,0,toMarket,0,1,0
4,3,0,0,0,toMarket,0,0,0
4,4,0,0,0,toMarket,0,1,0
4,5,0,0,0,toMarket,0,0,0
4,6,0,0,0,toMarket,0,0,0
4,7,0,0,0,toMarket,0,1,0
4,8,0,0,1,toMarket,0,1,1
4,9,0,1,1,toMarket,0,1,2
4,10,0,1,1,toMarket,0,0,3
4,11,0,0,0,toMarket,0,0,3
4,12,0,0,1,toMarket,0,0,3
4,13,0,0,0,toMarket,0,0,3
4,14,0,0,0,toMarket,0,0,3
5,0,0,0,0,toMarket,0,0,0
5,1,0,0,0,toMarket,0,0,0
5,2,0,1,0,toMarket,0,0,0
5,3,0,1,1,toMarket,0,0,0
5,4,0,1,1,toMarket,0,1,1
5,5,0,1,1,toMarket,0,0,1
5,6,1,0,0,toMarket,0,0,1
5,7,1,0,0,toMarket,0,0,1
5,8,1,0,0,toMarket,0,0,1
5,9,0,0,0,toMarket,0,0,1
5,10,1,0,0,toMarket,0,0,1
5,11,1,0,0,toMarket,0,0,1
5,12,0,0,0,toMarket,0,0,1
5,13,0,0,0,toMarket,0,0,1
5,14,1,0,0,toMarket,0,0,1
6,0,0,0,0,toMarket,0,0,0
6,1,0,0,0,toMarket,0,1,0
6,2,0,0,0,toMarket,0,0,0
6,3,0,0,0,toMarket,0,1,0
6,4,0,0,0,toMarket,0,0,0
6,5,0,1,1,toMarket,0,0,0
6,6,0,1,1,toMarket,0,1,0
6,7,0,1,1,toMarket,0,0,0
6,8,0,1,1,toMarket,0,1,1
6,9,0,0,1,toMarket,0,0,2
6,10,0,0,0,toMarket,0,1,3
6,11,0,0,0,toMarket,0,1,4
6,12,0,0,1,toMarket,0,1,4
6,13,0,1,1,toMarket,0,0,5
6,14,0,1,1,toMarket,0,1,6
7,0,0,0,0,toMarket,0,0,0
7,1,0,0,0,toMarket,0,1,0
7,2,0,0,0,toMarket,0,0,0
7,3,0,0,1,toMarket,0,1,0
7,4,0,0,1,toMarket,0,1,1
7,5,0,1,1,toMarket,0,1,2
7,6,0,0,1,toMarket,0,0,3
7,7,0,0,1,toMarket,0,0,3
7,8,0,0,1,toMarket,0,0,3
7,9,0,1,1,toMarket,0,0,3
7,10,0,1,1,toMarket,0,0,3
7,11,0,1,1,toMarket,0,0,3
7,12,0,0,0,toMarket,0,0,3
7,13,0,1,1,toMarket,0,0,3
7,14,0,1,1,toMarket,0,1,4
8,0,0,0,0,toMarket,0,0,0
8,1,0,0,0,toMarket,0,0,0
8,2,0,0,0,toMarket,0,0,0
8,3,0,0,0,toMarket,0,1,0
8,4,0,0,0,toMarket,0,1,0
8,5,0,1,1,toMarket,0,1,1
8,6,0,0,1,toMarket,0,1,2
8,7,0,1,1,toMarket,0,1,3
8,8,0,1,1,toMarket,0,1,4
8,9,0,1,1,toMarket,0,1,5
8,10,0,0,1,toMarket,0,0,5
8,11,1,0,0,toMarket,0,1,5
8,12,1,0,0,toMarket,0,1,5
8,13,1,0,0,toMarket,0,0,5
8,14,1,0,0,toMarket,0,0,5
9,0,0,0,0,toMarket,0,0,0
9,1,0,0,0,toMarket,0,1,0
9,2,0,0,0,toMarket,0,1,0
9,3,0,0,0,toMarket,0,0,0
9,4,1,0,0,toMarket,0,0,0
9,5,1,0,0,toMarket,0,0,0
9,6,1,0,0,toMarket,0,0,0
9,7,0,0,0,toMarket,0,0,0
9,8,1,0,0,toMarket,0,0,0
9,9,1,0,0,toMarket,0,0,0
9,10,1,0,0,toMarket,0,1,0
9,11,0,0,0,toMarket,0,0,0
9,12,0,0,0,toMarket,0,0,0
9,13,1,0,0,toMarket,0,1,0
9,14,0,0,0,toMarket,0,1,0
10,0,0,0,0,toMarket,0,0,0
10,1,0,0,0,toMarket,0,1,0
10,2,0,0,0,toMarket,0,0,0
10,3,0,0,0,toMarket,0,1,0
10,4,0,0,1,toMarket,0,1,0
10,5,0,1,1,toMarket,0,0,0
10,6,0,1,1,toMarket,0,0,0
10,7,1,0,0,toMarket,0,0,0
10,8,0,0,0,toMarket,0,0,0
10,9,1,0,0,toMarket,0,0,0
10,10,0,0,0,toMarket,0,0,0
10,11,1,0,0,toMarket,0,1,0
10,12,1,0,0,toMarket,0,0,1
10,13,0,0,1,toMarket,0,1,1
10,14,0,0,1,toMarket,0,1,2
11,0,0,0,0,toMarket,0,0,0
11,1,0,0,0,toMarket,0,0,0
11,2,0,1,1,toMarket,0,0,0
11,3,1,1,1,toMarket,0,0,0
11,4,1,0,0,toMarket,0,0,0
11,5,0,0,0,toMarket,0,1,0
11,6,1,0,0,toMarket,0,0,0
11,7,1,0,0,toMarket,0,0,0
11,8,1,0,0,toMarket,0,0,0
11,9,1,0,0,toMarket,0,1,0
11,10,1,0,0,toMarket,0,0,0
11,11,1,0,0,toMarket,0,0,0
11,12,1,0,0,toMarket,0,0,0
11,13,1,0,0,toMarket,0,0,0
11,14,1,0,0,toMarket,0,0,0
12,0,0,0,0,toMarket,0,0,0
12,1,0,0,0,toMarket,0,0,0
12,2,0,0,0,toMarket,0,0,0
12,3,0,0,0,toMarket,0,0,0
12,4,0,0,0,toMarket,0,0,0
12,5,1,0,0,toMarket,0,0,0
12,6,1,0,0,toMarket,0,1,0
12,7,1,0,0,toMarket,0,0,0
12,8,1,0,0,toMarket,0,0,0
12,9,1,0,0,toMarket,0,1,0
12,10,1,0,0,toMarket,0,0,0
12,11,1,0,0,toMarket,0,1,0
12,12,1,0,0,toMarket,0,0,0
12,13,1,0,0,toMarket,0,0,0
12,14,1,0,0,toMarket,0,1,0
13,0,0,0,0,toMarket,0,0,0
13,1,0,0,0,toMarket,0,0,0
13,2,0,0,0,toMarket,0,1,0
13,3,1,0,0,toMarket,0,0,0
13,4,1,0,0,toMarket,0,0,0
13,5,1,0,0,toMarket,0,0,0
13,6,1,0,0,toMarket,0,0,0
13,7,0,0,0,toMarket,0,0,1
13,8,0,1,1,toMarket,0,0,1
13,9,1,0,1,toMarket,0,1,1
13,10,1,0,0,toMarket,0,1,1
13,11,0,1,1,toMarket,0,1,2
13,12,0,0,1,toMarket,0,1,2
13,13,0,1,1,toMarket,0,0,3
13,14,0,1,1,toMarket,0,0,3
14,0,0,0,0,toMarket,0,0,0
14,1,0,0,0,toMarket,0,1,0
14,2,0,0,0,toMarket,0,1,0
14,3,0,0,0,toMarket,0,1,0
14,4,0,0,0,toMarket,0,1,1
14,5,0,0,0,toMarket,0,1,1
14,6,0,0,0,toMarket,0,0,1
14,7,0,1,1,toMarket,0,0,1
14,8,0,1,1,toMarket,0,0,1
14,9,0,1,1,toMarket,0,0,2
14,10,0,0,0,toMarket,0,0,2
14,11,0,0,0,toMarket,0,0,2
14,12,0,0,0,toMarket,0,0,2
14,13,1,0,0,toMarket,0,0,2
14,14,1,1,1,toMarket,0,0,2
15,0,0,0,0,toMarket,0,0,0
15,1,0,0,0,toMarket,0,0,0
15,2,0,0,0,toMarket,0,0,0
15,3,0,0,0,toMarket,0,0,0
15,4,0,1,1,toMarket,0,1,0
15,5,0,1,1,toMarket,0,0,0
15,6,0,1,1,toMarket,0,1,0
15,7,0,1,1,toMarket,0,0,1
15,8,0,0,1,toMarket,0,1,1
15,9,0,1,1,toMarket,0,1,2
15,10,0,1,1,toMarket,0,0,3
15,11,0,1,1,toMarket,0,1,3
15,12,0,0,0,toMarket,0,0,4
15,13,1,0,1,toMarket,0,1,5
15,14,0,0,1,toMarket,0,0,6
16,0,0,0,0,toMarket,0,0,0
16,1,0,0,0,toMarket,0,0,0
16,2,0,0,1,toMarket,0,0,0
16,3,0,0,0,toMarket,0,1,0
16,4,0,1,0,toMarket,0,0,0
16,5,0,1,1,toMarket,0,0,0
16,6,0,1,1,toMarket,0,0,1
16,7,0,1,1,toMarket,0,0,1
16,8,0,0,0,toMarket,0,1,2
16,9,0,0,1,toMarket,0,1,2
16,10,0,1,1,toMarket,0,1,3
16,11,0,1,1,toMarket,0,0,3
16,12,1,0,0,toMarket,0,1,4
16,13,0,0,1,toMarket,0,1,4
16,14,0,1,1,toMarket,0,1,5
17,0,0,0,0,toMarket,0,0,0
17,1,0,0,0,toMarket,0,1,0
17,2,0,0,0,toMarket,0,1,0
17,3,0,0,0,toMarket,0,1,0
17,4,0,0,0,toMarket,0,0,1
17,5,0,0,1,toMarket,0,0,2
17,6,0,0,1,toMarket,0,1,3
17,7,0,0,1,toMarket,0,1,4
17,8,0,0,1,toMarket,0,1,5
17,9,0,0,1,toMarket,0,0,5
17,10,0,0,1,toMarket,0,0,5
17,11,0,1,1,toMarket,0,1,7
17,12,0,1,1,toMarket,0,1,8
17,13,0,1,1,toMarket,0,0,9
17,14,0,0,0,toMarket,0,1,9
18,0,0,0,0,toMarket,0,0,0
18,1,0,0,0,toMarket,0,1,0
18,2,0,0,0,toMarket,0,1,0
18,3,0,0,0,toMarket,0,1,0
18,4,0,0,0,toMarket,0,0,0
18,5,1,0,0,toMarket,0,0,0
18,6,0,1,1,toMarket,0,0,1
18,7,0,1,1,toMarket,0,1,2
18,8,0,1,0,toMarket,0,1,3
18,9,0,1,1,toMarket,0,1,4
18,10,0,1,1,toMarket,0,0,5
18,11,0,0,1,toMarket,0,0,5
18,12,0,0,0,toMarket,0,0,5
18,13,1,0,0,toMarket,0,0,5
18,14,1,0,0,toMarket,0,0,5
19,0,0,0,0,toMarket,0,0,0
19,1,0,0,0,toMarket,0,1,0
19,2,0,0,0,toMarket,0,0,1
19,3,0,1,1,toMarket,0,0,1
19,4,1,0,1,toMarket,0,1,1
19,5,0,0,0,toMarket,0,0,1
19,6,0,0,0,toMarket,0,0,1
19,7,1,0,0,toMarket,0,0,1
19,8,0,0,0,toMarket,0,0,1
19,9,0,0,0,toMarket,0,0,1
19,10,0,0,0,toMarket,0,0,1
19,11,0,0,0,toMarket,0,0,1
19,12,0,0,0,toMarket,0,0,1
19,13,0,0,0,toMarket,0,0,1
19,14,0,0,1,toMarket,0,0,1
20,0,0,0,0,toMarket,0,0,0
20,1,0,0,0,toMarket,0,0,0
20,2,0,0,1,toMarket,0,0,0
20,3,0,1,1,toMarket,0,1,1
20,4,0,1,1,toMarket,0,0,2
20,5,0,0,1,toMarket,0,1,3
20,6,0,1,1,toMarket,0,1,4
20,7,0,1,1,toMarket,0,1,5
20,8,0,0,1,toMarket,0,1,5
20,9,0,0,0,toMarket,0,1,6
20,10,0,0,0,toMarket,0,1,6
20,11,0,0,0,toMarket,0,0,6
20,12,1,0,0,toMarket,0,0,6
20,13,1,0,0,toMarket,0,0,6
20,14,1,0,0,toMarket,0,1,6
21,0,0,0,0,toMarket,0,0,0
21,1,0,0,0,toMarket,0,0,0
21,2,0,0,1,toMarket,0,0,0
21,3,0,1,0,toMarket,0,0,0
21,4,0,1,1,toMarket,0,1,0
21,5,1,0,0,toMarket,0,0,2
21,6,1,0,0,toMarket,0,0,2
21,7,1,0,0,toMarket,0,0,2
21,8,1,0,0,toMarket,0,0,2
21,9,0,0,0,toMarket,0,1,3
21,10,1,0,1,toMarket,0,1,4
21,11,0,0,1,toMarket,0,1,4
21,12,0,0,1,toMarket,0,1,4
21,13,0,1,1,toMarket,0,1,4
21,14,0,1,1,toMarket,0,1,5
22,0,0,0,0,toMarket,0,0,0
22,1,0,0,0,toMarket,0,0,0
22,2,0,0,1,toMarket,0,1,1
22,3,0,0,0,toMarket,0,1,2
22,4,0,0,0,toMarket,0,0,2
22,5,0,0,0,toMarket,0,1,2
22,6,0,1,1,toMarket,0,0,3
22,7,0,1,0,toMarket,0,1,3
22,8,0,1,1,toMarket,0,0,3
22,9,0,1,1,toMarket,0,0,3
22,10,0,1,1,toMarket,0,0,4
22,11,0,1,1,toMarket,0,0,4
22,12,0,0,0,toMarket,0,0,4
22,13,1,0,0,toMarket,0,0,4
22,14,1,0,0,toMarket,0,1,4
23,0,0,0,0,toMarket,0,0,0
23,1,0,0,0,toMarket,0,0,0
23,2,0,0,0,toMarket,0,1,0
23,3,0,0,0,toMarket,0,0,0
23,4,0,0,0,toMarket,0,1,0
23,5,0,0,0,toMarket,0,0,0
23,6,0,0,0,toMarket,0,1,0
23,7,0,0,1,toMarket,0,0,0
23,8,0,0,1,toMarket,0,1,1
23,9,0,1,1,toMarket,0,1,1
23,10,0,1,0,toMarket,0,0,2
23,11,0,0,0,toMarket,0,1,2
23,12,0,1,1,toMarket,0,1,2
23,13,0,1,1,toMarket,0,0,2
23,14,0,1,1,toMarket,0,0,2
24,0,0,0,0,toMarket,0,0,0
24,1,0,0,0,toMarket,0,1,0
24,2,0,0,0,toMarket,0,0,0
24,3,0,0,0,toMarket,0,0,0
24,4,0,1,0,toMarket,0,0,0
24,5,0,0,1,toMarket,0,0,0
24,6,1,0,1,toMarket,0,0,0
24,7,1,0,0,toMarket,0,0,0
24,8,0,0,0,toMarket,0,0,0
24,9,1,0,0,toMarket,0,1,0
24,10,1,0,0,toMarket,0,0,0
24,11,1,0,0,toMarket,0,0,0
24,12,1,0,0,toMarket,0,0,0
24,13,1,0,0,toMarket,0,0,0
24,14,1,0,0,toMarket,0,0,0
25,0,0,0,0,toMarket,0,0,0
25,1,0,0,0,toMarket,0,0,0
25,2,0,0,0,toMarket,0,0,0
25,3,0,0,0,toMarket,0,0,0
25,4,0,1,1,toMarket,0,0,0
25,5,0,0,1,toMarket,0,0,0
25,6,1,0,0,toMarket,0,0,0
25,7,1,0,0,toMarket,0,0,0
25,8,1,0,0,toMarket,0,0,0
25,9,0,0,0,toMarket,0,1,0
25,10,0,0,0,toMarket,0,1,0
25,11,1,0,0,toMarket,0,1,0
25,12,0,1,1,toMarket,0,1,0
25,13,0,1,0,toMarket,0,1,0
25,14,1,0,0,toMarket,0,1,0
26,0,0,0,0,toMarket,0,0,0
26,1,0,0,0,toMarket,0,1,0
26,2,0,0,0,toMarket,0,0,0
26,3,0,1,1,toMarket,0,0,0
26,4,0,0,0,toMarket,0,0,0
26,5,0,1,1,toMarket,0,0,0
26,6,0,0,0,toMarket,0,0,0
26,7,0,1,1,toMarket,0,0,0
26,8,0,1,1,toMarket,0,0,0
26,9,0,1,0,toMarket,0,0,1
26,10,0,1,1,toMarket,0,0,1
26,11,1,0,0,toMarket,0,0,1
26,12,1,0,0,toMarket,0,0,1
26,13,1,0,0,toMarket,0,0,1
26,14,1,0,0,toMarket,0,0,1
27,0,0,0,0,toMarket,0,0,0
27,1,0,0,0,toMarket,0,1,0
27,2,0,0,0,toMarket,0,1,0
27,3,0,0,0,toMarket,0,0,0
27,4,0,0,0,toMarket,0,0,0
27,5,0,1,1,toMarket,0,1,0
27,6,1,1,0,toMarket,0,0,0
27,7,1,0,0,toMarket,0,0,0
27,8,1,0,0,toMarket,0,0,0
27,9,0,0,0,toMarket,0,1,0
27,10,0,0,0,toMarket,0,0,1
27,11,0,0,0,toMarket,0,1,1
27,12,0,0,0,toMarket,0,1,1
27,13,0,0,0,toMarket,0,0,1
27,14,1,0,0,toMarket,0,0,1
28,0,0,0,0,toMarket,0,0,0
28,1,0,0,0,toMarket,0,1,0
28,2,0,0,1,toMarket,0,1,1
28,3,0,0,1,toMarket,0,1,2
28,4,0,0,0,toMarket,0,1,3
28,5,0,1,1,toMarket,0,1,3
28,6,0,0,0,toMarket,0,0,3
28,7,1,0,0,toMarket,0,0,3
28,8,1,0,0,toMarket,0,1,3
28,9,1,0,0,toMarket,0,1,3
28,10,1,0,0,toMarket,0,0,3
28,11,1,0,0,toMarket,0,0,3
28,12,1,0,0,toMarket,0,0,3
28,13,1,0,0,toMarket,0,0,3
28,14,1,0,0,toMarket,0,0,3
29,0,0,0,0,toMarket,0,0,0
29,1,0,0,0,toMarket,0,1,0
29,2,0,0,0,toMarket,0,0,0
29,3,0,0,1,toMarket,0,1,0
29,4,0,0,1,toMarket,0,0,0
29,5,1,0,0,toMarket,0,0,0
29,6,1,0,1,toMarket,0,0,0
29,7,1,0,0,toMarket,0,1,0
29,8,1,0,0,toMarket,0,0,0
29,9,0,0,0,toMarket,0,1,0
29,10,0,0,1,toMarket,0,1,1
29,11,0,0,1,toMarket,0,1,2
29,12,0,0,1,toMarket,0,1,3
29,13,0,0,1,toMarket,0,1,3
29,14,0,1,1,toMarket,0,1,4
30,0,0,0,0,toMarket,0,0,0
30,1,0,0,0,toMarket,0,0,0
30,2,0,0,0,toMarket,0,1,0
30,3,0,0,0,toMarket,0,0,0
30,4,0,1,1,toMarket,0,1,0
30,5,0,1,1,toMarket,0,0,0
30,6,1,0,0,toMarket,0,0,0
30,7,1,0,0,toMarket,0,1,1
30,8,0,0,1,toMarket,0,0,1
30,9,1,0,0,toMarket,0,1,2
30,10,1,0,0,toMarket,0,1,2
30,11,1,0,0,toMarket,0,0,3
30,12,0,1,1,toMarket,0,1,3
30,13,0,0,1,toMarket,0,1,4
30,14,0,0,1,toMarket,0,1,5
31,0,0,0,0,toMarket,0,0,0
31,1,0,0,0,toMarket,0,1,0
31,2,0,0,0,toMarket,0,0,1
31,3,0,0,0,toMarket,0,1,1
31,4,0,1,1,toMarket,0,1,1
31,5,0,0,1,toMarket,0,1,2
31,6,0,1,1,toMarket,0,0,3
31,7,0,1,1,toMarket,0,1,3
31,8,0,0,1,toMarket,0,1,4
31,9,0,0,1,toMarket,0,0,5
31,10,1,0,0,toMarket,0,1,5
31,11,0,1,1,toMarket,0,1,5
31,12,0,1,1,toMarket,0,1,6
31,13,0,1,1,toMarket,0,1,7
31,14,0,1,1,toMarket,0,1,8
32,0,0,0,0,toMarket,0,0,0
32,1,0,0,0,toMarket,0,0,0
32,2,0,0,0,toMarket,0,0,0
32,3,0,0,0,toMarket,0,0,0
32,4,0,0,0,toMarket,0,0,0
32,5,0,1,1,toMarket,0,1,0
32,6,0,1,1,toMarket,0,0,0
32,7,0,1,1,toMarket,0,0,0
32,8,0,1,1,toMarket,0,0,0
32,9,0,1,1,toMarket,0,0,0
32,10,0,1,1,toMarket,0,0,0
32,11,0,1,1,toMarket,0,1,0
32,12,0,0,1,toMarket,0,0,1
32,13,0,0,1,toMarket,0,1,2
32,14,0,0,1,toMarket,0,0,3
33,0,0,0,0,toMarket,0,0,0
33,1,0,0,0,toMarket,0,0,1
33,2,0,0,1,toMarket,0,1,2
33,3,0,0,1,toMarket,0,1,3
33,4,0,0,1,toMarket,0,1,3
33,5,0,1,1,toMarket,0,0,3
33,6,0,0,0,toMarket,0,1,3
33,7,0,0,0,toMarket,0,0,3
33,8,1,0,0,toMarket,0,1,3
33,9,1,0,0,toMarket,0,1,3
33,10,1,0,0,toMarket,0,0,3
33,11,1,0,0,toMarket,0,0,3
33,12,1,0,0,toMarket,0,0,3
33,13,1,0,0,toMarket,0,0,3
33,14,1,0,0,toMarket,0,0,3
34,0,0,0,0,toMarket,0,0,0
34,1,0,0,0,toMarket,0,0,0
34,2,0,0,1,toMarket,0,0,0
34,3,0,1,1,toMarket,0,0,1
34,4,0,0,1,toMarket,0,1,2
34,5,0,1,1,toMarket,0,1,3
34,6,0,1,1,toMarket,0,1,3
34,7,0,1,1,toMarket,0,0,3
34,8,0,1,0,toMarket,0,0,3
34,9,0,0,0,toMarket,0,0,3
34,10,0,0,0,toMarket,0,0,3
34,11,1,0,0,toMarket,0,1,3
34,12,1,0,0,toMarket,0,1,3
34,13,0,0,0,toMarket,0,1,3
34,14,1,0,0,toMarket,0,0,3
35,0,0,0,0,toMarket,0,0,0
35,1,0,0,1,toMarket,0,1,0
35,2,0,0,0,toMarket,0,0,1
35,3,0,0,1,toMarket,0,0,1
35,4,0,1,1,toMarket,0,1,2
35,5,0,1,1,toMarket,0,0,3
35,6,0,1,1,toMarket,0,0,3
35,7,1,0,1,toMarket,0,1,3
35,8,0,0,1,toMarket,0,1,4
35,9,0,0,1,toMarket,0,0,5
35,10,0,0,1,toMarket,0,0,5
35,11,0,0,1,toMarket,0,0,5
35,12,0,0,1,toMarket,0,1,6
35,13,0,0,1,toMarket,0,1,6
35,14,0,1,1,toMarket,0,1,6
36,0,0,0,0,toMarket,0,0,0
36,1,0,0,0,toMarket,0,0,0
36,2,0,0,0,toMarket,0,0,0
36,3,0,0,0,toMarket,0,1,0
36,4,0,1,1,toMarket,0,0,0
36,5,0,1,1,toMarket,0,0,0
36,6,0,0,0,toMarket,0,0,0
36,7,1,0,0,toMarket,0,0,0
36,8,1,0,0,toMarket,0,0,0
36,9,1,0,0,toMarket,0,0,0
36,10,1,0,0,toMarket,0,0,1
36,11,1,0,0,toMarket,0,0,1
36,12,1,0,0,toMarket,0,0,1
36,13,1,0,0,toMarket,0,0,1
36,14,1,0,0,toMarket,0,1,1
37,0,0,0,0,toMarket,0,0,0
37,1,0,0,0,toMarket,0,0,0
37,2,0,0,0,toMarket,0,0,0
37,3,0,0,0,toMarket,0,0,0
37,4,0,0,0,toMarket,0,0,0
37,5,0,0,0,toMarket,0,0,0
37,6,0,0,0,toMarket,0,1,0
37,7,0,0,0,toMarket,0,0,0
37,8,0,1,0,toMarket,0,1,0
37,9,0,1,1,toMarket,0,1,1
37,10,0,1,1,toMarket,0,0,1
37,11,0,0,0,toMarket,0,1,1
37,12,0,0,0,toMarket,0,0,1
37,13,0,0,0,toMarket,0,0,1
37,14,0,1,1,toMarket,0,0,1
38,0,0,0,0,toMarket,0,0,0
38,1,0,0,0,toMarket,0,1,0
38,2,0,0,0,toMarket,0,1,0
38,3,0,0,0,toMarket,0,0,0
38,4,0,0,1,toMarket,0,1,1
38,5,0,0,0,toMarket,0,0,2
38,6,0,0,0,toMarket,0,1,3
38,7,0,0,1,toMarket,0,0,3
