Run,Step,InCave,InTown,InCave,InForest,Update,CurrentState,SafeChoice,SafeCount
41,2,0,1,1,1,toMarket,3,0,0
41,3,0,1,1,0,toTown,5,0,0
41,4,1,0,0,1,toCave,6,0,0
41,5,1,1,1,1,toTown,7,0,0
41,6,1,0,0,0,toTown,2,0,0
41,7,1,0,0,0,toTown,2,0,0
41,8,1,0,0,0,toTown,2,0,0
41,9,1,0,0,0,toTown,2,0,0
41,10,1,0,0,0,toTown,2,0,0
42,0,0,0,0,1,toForest,1,0,0
42,1,0,0,1,1,toTown,3,0,0
42,2,0,0,0,1,toTown,8,0,0
42,3,0,1,1,0,toMarket,8,0,0
42,4,0,0,0,0,toTown,5,0,0
42,5,1,0,0,0,toCave,6,0,0
42,6,1,0,0,1,toTown,7,0,0
42,7,1,1,1,0,toTown,2,0,0
42,8,1,0,1,0,toTown,2,0,0
42,9,1,0,0,0,toTown,2,0,0
42,10,1,0,0,0,toTown,2,0,0
42,11,1,0,0,0,toTown,2,0,0
42,12,1,0,1,0,toTown,2,0,0
43,0,0,0,0,1,toForest,1,0,0
43,1,0,0,1,0,toTown,3,0,0
43,2,0,1,1,0,toTown,8,0,0
43,3,0,1,1,0,toTown,5,0,0
43,4,1,0,0,0,toCave,6,0,0
43,5,1,0,0,0,toTown,7,0,0
43,6,1,0,0,0,toTown,2,0,0
43,7,1,0,0,0,toTown,2,0,0
43,8,1,0,1,0,toTown,2,0,0
43,9,1,0,0,0,toTown,2,0,0
44,0,0,0,0,1,toForest,1,0,0
44,1,0,0,0,1,toTown,3,0,0
44,2,0,0,0,1,toMarket,3,0,0
44,3,0,1,1,0,toMarket,3,0,0
44,4,0,1,1,0,toTown,5,0,0
44,5,1,1,1,0,toCave,6,0,0
44,6,1,0,0,0,toTown,5,0,0
44,7,1,0,0,0,toTown,2,0,0
44,8,1,0,0,0,toTown,2,0,0
44,9,1,0,1,0,toTown,2,0,0
44,10,1,0,1,0,toTown,2,0,0
44,11,1,0,0,0,toTown,2,0,0
44,12,1,0,1,0,toTown,2,0,0
44,13,1,0,0,0,toTown,2,0,0
44,14,1,0,0,0,toTown,2,0,0
45,0,0,0,0,1,toForest,1,0,0
45,1,0,1,1,1,toTown,3,0,0
45,2,0,0,1,0,toTown,5,0,0
45,3,1,0,1,0,toCave,6,0,0
45,4,1,1,1,0,toTown,8,0,0
45,5,1,0,0,0,toTown,2,0,0
45,6,1,0,1,0,toTown,2,0,0
45,7,1,0,1,1,toTown,2,0,0
45,8,1,0,0,1,toTown,2,0,0
45,9,1,0,0,1,toTown,2,0,0
45,10,1,0,0,1,toTown,2,0,0
46,0,0,0,0,1,toForest,1,0,0
46,1,0,0,0,1,toTown,3,0,0
46,2,0,0,0,1,toMarket,3,0,0
46,3,0,0,0,0,toMarket,3,0,0
46,4,0,0,0,0,toMarket,3,0,0
46,5,0,0,0,1,toMarket,3,0,0
46,6,0,0,0,1,toMarket,3,0,0
46,7,0,0,0,1,toMarket,3,0,0
46,8,0,1,1,1,toMarket,3,0,0
46,9,0,1,1,0,toTown,5,0,0
46,10,1,0,0,1,toCave,6,0,0
46,11,1,0,0,0,toTown,7,0,0
46,12,1,0,0,0,toTown,2,0,0
46,13,1,0,0,1,toTown,2,0,0
46,14,1,0,1,0,toTown,2,0,0
47,0,0,0,0,1,toForest,1,0,0
47,1,0,0,0,1,toTown,3,0,0
47,2,0,0,0,1,toMarket,3,0,0
47,3,0,1,1,1,toMarket,3,0,0
47,4,0,1,1,0,toTown,5,0,0
47,5,1,1,1,0,toCave,6,0,0
47,6,1,0,1,0,toTown,5,0,0
47,7,1,0,1,0,toTown,2,0,0
47,8,1,0,1,0,toTown,2,0,0
47,9,1,0,0,0,toTown,2,0,0
47,10,1,0,1,0,toTown,2,0,0
47,11,1,0,1,0,toTown,2,0,0
47,12,1,0,0,0,toTown,2,0,0
47,13,1,0,1,1,toTown,2,0,0
47,14,1,0,0,1,toTown,2,0,0
48,0,0,0,0,1,toForest,1,0,0
48,1,0,0,0,1,toTown,3,0,0
48,2,0,1,1,1,toMarket,3,0,0
48,3,0,1,1,0,toTown,5,0,0
48,4,1,0,0,1,toCave,6,0,0
48,5,1,0,0,0,toTown,7,0,0
48,6,1,0,0,0,toTown,2,0,0
49,0,0,0,0,1,toForest,1,0,0
49,1,0,0,1,1,toTown,3,0,0
49,2,0,0,0,1,toTown,8,0,0
49,3,0,1,1,0,toMarket,8,0,0
49,4,0,1,1,0,toTown,5,0,0
49,5,1,0,0,1,toCave,6,0,0
49,6,1,0,0,0,toTown,7,0,0
49,7,1,0,1,0,toTown,2,0,0
49,8,1,0,1,0,toTown,2,0,0
49,9,1,0,0,0,toTown,2,0,0
49,10,1,0,0,0,toTown,2,0,0
49,11,1,0,0,0,toTown,2,0,0
49,12,1,0,0,0,toTown,2,0,0
49,13,1,0,1,1,toTown,2,0,0
49,14,1,1,1,0,toTown,2,0,0
50,0,0,0,0,1,toForest,1,0,0
50,1,0,0,0,1,toTown,3,0,0
50,2,0,1,1,0,toMarket,3,0,0
50,3,0,1,1,0,toTown,5,0,0
50,4,1,0,0,0,toCave,6,0,0
50,5,1,0,0,1,toTown,7,0,0
50,6,1,0,1,0,toTown,2,0,0
50,7,1,0,1,0,toTown,2,0,0
50,8,1,0,1,0,toTown,2,0,0
50,9,1,0,1,0,toTown,2,0,0
50,10,1,0,1,0,toTown,2,0,0
50,11,1,0,1,0,toTown,2,0,0
50,12,1,0,0,0,toTown,2,0,0
50,13,1,1,1,0,toTown,2,0,0
50,14,1,1,1,0,toTown,2,0,0
51,0,0,0,0,1,toForest,1,0,0
51,1,0,0,1,1,toTown,3,0,0
51,2,0,0,1,0,toTown,8,0,0
51,3,0,1,1,0,toMarket,8,0,0
51,4,0,1,1,0,toTown,5,0,0
51,5,1,0,0,0,toCave,6,0,0
51,6,1,0,0,0,toTown,7,0,0
51,7,1,0,0,0,toTown,2,0,0
51,8,1,1,1,1,toTown,2,0,0
51,9,1,1,1,0,toTown,2,0,0
52,0,0,0,0,1,toForest,1,0,0
52,1,0,0,1,1,toTown,3,0,0
52,2,0,0,0,1,toTown,8,0,0
52,3,0,1,0,1,toMarket,8,0,0
52,4,0,0,0,1,toMarket,5,0,0
52,5,1,0,0,1,toCave,6,0,0
52,6,1,0,0,0,toTown,7,0,0
52,7,1,0,0,0,toTown,2,0,0
52,8,1,0,0,0,toTown,2,0,0
52,9,1,0,1,0,toTown,2,0,0
52,10,1,0,0,0,toTown,2,0,0
52,11,1,0,0,0,toTown,2,0,0
52,12,1,0,0,0,toTown,2,0,0
52,13,1,0,0,0,toTown,2,0,0
52,14,1,0,1,1,toTown,2,0,0
53,0,0,0,0,1,toForest,1,0,0
53,1,0,0,1,1,toTown,3,0,0
53,2,0,0,1,0,toTown,8,0,0
53,3,0,0,0,0,toMarket,8,0,0
53,4,1,0,0,0,toMarket,8,0,0
53,5,1,0,1,1,toMarket,2,0,0
53,6,1,0,1,0,toMarket,2,0,0
53,7,1,1,0,0,toMarket,2,0,0
53,8,1,1,1,0,toMarket,2,0,0
53,9,1,1,1,0,toMarket,2,0,0
53,10,1,1,1,0,toMarket,2,0,0
53,11,1,1,1,0,toMarket,2,0,0
53,12,1,1,1,0,toMarket,2,0,0
53,13,1,1,1,0,toMarket,2,0,0
53,14,1,1,1,0,toMarket,2,0,0
54,0,0,0,0,1,toForest,1,0,0
54,1,0,0,1,1,toTown,3,0,0
54,2,0,0,0,1,toTown,8,0,0
54,3,0,0,0,1,toMarket,8,0,0
54,4,0,1,0,1,toMarket,8,0,0
54,5,0,1,1,0,toMarket,5,0,0
54,6,1,0,0,0,toCave,6,0,0
54,7,1,0,0,0,toTown,7,0,0
54,8,1,1,1,0,toTown,2,0,0
54,9,1,1,1,0,toTown,2,0,0
55,0,0,0,0,1,toForest,1,0,0
55,1,0,0,1,1,toTown,3,0,0
55,2,0,0,1,0,toTown,8,0,0
55,3,0,1,1,0,toMarket,8,0,0
55,4,0,1,1,0,toTown,5,0,0
55,5,1,0,1,0,toCave,6,0,0
55,6,1,0,0,0,toTown,8,0,0
55,7,1,0,1,0,toTown,2,0,0
55,8,1,0,1,0,toTown,2,0,0
55,9,1,0,0,0,toTown,2,0,0
55,10,1,0,0,0,toTown,2,0,0
55,11,1,0,1,0,toTown,2,0,0
55,12,1,0,1,0,toTown,2,0,0
55,13,1,0,1,1,toTown,2,0,0
55,14,1,0,1,0,toTown,2,0,0
56,0,0,0,1,1,toForest,1,0,0
56,1,0,0,0,1,toTown,8,0,0
56,2,0,1,1,0,toMarket,8,0,0
56,3,0,1,1,0,toTown,5,0,0
56,4,1,1,1,0,toCave,6,0,0
56,5,1,1,1,0,toTown,5,0,0
56,6,1,0,0,0,toTown,2,0,0
56,7,1,0,0,0,toTown,2,0,0
56,8,1,0,0,0,toTown,2,0,0
56,9,1,0,0,0,toTown,2,0,0
56,10,1,0,1,0,toTown,2,0,0
56,11,1,0,1,0,toTown,2,0,0
56,12,1,0,1,0,toTown,2,0,0
56,13,1,1,1,0,toTown,2,0,0
56,14,1,0,1,0,toTown,2,0,0
57,0,0,0,1,1,toForest,1,0,0
57,1,0,0,0,1,toTown,8,0,0
57,2,0,1,1,0,toMarket,8,0,0
57,3,0,0,1,0,toTown,5,0,0
57,4,1,1,1,0,toCave,6,0,0
57,5,1,0,0,0,toTown,5,0,0
57,6,1,0,0,0,toTown,2,0,0
58,0,0,0,0,1,toForest,1,0,0
58,1,0,0,0,1,toTown,3,0,0
58,2,0,1,0,1,toMarket,3,0,0
58,3,0,1,1,0,toTown,4,0,0
58,4,0,1,1,0,toTown,5,0,0
58,5,1,1,1,0,toCave,6,0,0
58,6,1,0,0,1,toTown,5,0,0
58,7,1,0,0,0,toTown,2,0,0
58,8,1,0,1,0,toTown,2,0,0
58,9,1,0,1,0,toTown,2,0,0
58,10,1,0,1,0,toTown,2,0,0
58,11,1,0,0,0,toTown,2,0,0
58,12,1,0,0,0,toTown,2,0,0
58,13,1,0,0,0,toTown,2,0,0
58,14,1,0,1,0,toTown,2,0,0
59,0,0,0,0,1,toForest,1,0,0
59,1,0,0,0,1,toTown,3,0,0
59,2,0,1,1,1,toMarket,3,0,0
59,3,0,1,1,0,toTown,5,0,0
59,4,1,1,1,0,toCave,6,0,0
59,5,1,0,0,0,toTown,5,0,0
59,6,1,0,0,0,toTown,2,0,0
59,7,1,0,1,0,toTown,2,0,0
59,8,1,0,1,0,toTown,2,0,0
59,9,1,0,1,0,toTown,2,0,0
59,10,1,0,1,0,toTown,2,0,0
59,11,1,0,1,0,toTown,2,0,0
59,12,1,0,1,0,toTown,2,0,0
59,13,1,0,1,0,toTown,2,0,0
59,14,1,0,1,0,toTown,2,0,0
60,0,0,0,0,1,toForest,1,0,0
60,1,0,0,0,1,toTown,3,0,0
60,2,0,1,1,0,toMarket,3,0,0
60,3,0,1,1,0,toTown,5,0,0
60,4,1,0,0,0,toCave,6,0,0
60,5,1,0,0,1,toTown,7,0,0
60,6,1,0,0,0,toTown,2,0,0
60,7,1,0,0,0,toTown,2,0,0
60,8,1,0,1,0,toTown,2,0,0
60,9,1,0,1,0,toTown,2,0,0
60,10,1,0,1,0,toTown,2,0,0
60,11,1,0,1,0,toTown,2,0,0
60,12,1,0,1,0,toTown,2,0,0
61,0,0,0,0,1,toForest,1,0,0
61,1,0,0,1,1,toTown,3,0,0
61,2,0,0,0,1,toTown,8,0,0
61,3,0,0,0,0,toMarket,8,0,0
61,4,0,0,1,0,toMarket,8,0,0
61,5,0,1,1,0,toMarket,8,0,0
61,6,0,1,1,0,toTown,5,0,0
61,7,1,0,0,0,toCave,6,0,0
61,8,1,0,0,0,toTown,7,0,0
61,9,1,0,1,0,toTown,2,0,0
61,10,1,0,1,0,toTown,2,0,0
61,11,1,0,1,0,toTown,2,0,0
61,12,1,0,1,0,toTown,2,0,0
61,13,1,0,1,0,toTown,2,0,0
61,14,1,0,1,0,toTown,2,0,0
62,0,0,0,0,1,toForest,1,0,0
62,1,0,0,0,1,toTown,3,0,0
62,2,0,0,0,1,toMarket,3,0,0
62,3,0,1,1,1,toMarket,3,0,0
62,4,0,1,1,0,toTown,5,0,0
62,5,1,0,0,1,toCave,6,0,0
62,6,1,0,0,0,toTown,7,0,0
62,7,1,0,0,0,toTown,2,0,0
62,8,1,0,0,0,toTown,2,0,0
62,9,1,0,0,0,toTown,2,0,0
62,10,1,0,0,0,toTown,2,0,0
62,11,1,0,1,0,toTown,2,0,0
62,12,1,1,1,0,toTown,2,0,0
62,13,1,0,1,0,toTown,2,0,0
62,14,1,1,1,0,toTown,2,0,0
63,0,0,0,0,1,toForest,1,0,0
63,1,0,1,1,0,toTown,3,0,0
63,2,0,0,0,1,toTown,5,0,0
63,3,1,0,0,1,toCave,6,0,0
63,4,1,0,0,0,toTown,7,0,0
63,5,1,0,0,0,toTown,2,0,0
63,6,1,0,0,0,toTown,2,0,0
63,7,1,0,0,0,toTown,2,0,0
63,8,1,1,1,0,toTown,2,0,0
63,9,1,0,1,0,toTown,2,0,0
63,10,1,0,1,0,toTown,2,0,0
63,11,1,0,1,0,toTown,2,0,0
63,12,1,0,1,0,toTown,2,0,0
63,13,1,0,1,0,toTown,2,0,0
63,14,1,0,1,0,toTown,2,0,0
64,0,0,0,0,1,toForest,1,0,0
64,1,0,0,1,1,toTown,3,0,0
64,2,0,0,1,0,toTown,8,0,0
64,3,0,0,0,0,toMarket,8,0,0
64,4,0,1,1,0,toMarket,8,0,0
64,5,0,1,1,0,toTown,5,0,0
64,6,1,1,1,0,toCave,6,0,0
64,7,1,0,0,0,toTown,5,0,0
64,8,1,0,0,0,toTown,2,0,0
64,9,1,0,0,0,toTown,2,0,0
64,10,1,1,1,0,toTown,2,0,0
64,11,1,0,1,0,toTown,2,0,0
65,0,0,0,0,1,toForest,1,0,0
65,1,0,0,0,1,toTown,3,0,0
65,2,0,1,1,0,toMarket,3,0,0
65,3,0,0,1,0,toTown,5,0,0
65,4,1,0,1,0,toCave,6,0,0
65,5,1,0,0,0,toTown,8,0,0
65,6,1,0,0,0,toTown,2,0,0
65,7,1,0,0,0,toTown,2,0,0
66,0,0,0,0,1,toForest,1,0,0
66,1,0,0,1,1,toTown,3,0,0
66,2,0,0,1,0,toTown,8,0,0
66,3,0,1,1,0,toMarket,8,0,0
66,4,0,1,1,0,toTown,5,0,0
66,5,1,0,0,1,toCave,6,0,0
66,6,1,0,0,0,toTown,7,0,0
66,7,1,0,0,0,toTown,2,0,0
66,8,1,0,0,0,toTown,2,0,0
66,9,1,0,0,0,toTown,2,0,0
66,10,1,0,1,0,toTown,2,0,0
67,0,0,0,0,1,toForest,1,0,0
67,1,0,0,0,1,toTown,3,0,0
67,2,0,1,1,1,toMarket,3,0,0
67,3,0,1,0,0,toTown,5,0,0
67,4,1,0,1,0,toCave,6,0,0
67,5,1,0,0,0,toTown,8,0,0
67,6,1,0,0,0,toTown,2,0,0
67,7,1,0,0,0,toTown,2,0,0
67,8,1,0,1,0,toTown,2,0,0
67,9,1,0,1,0,toTown,2,0,0
67,10,1,0,1,0,toTown,2,0,0
68,0,0,0,0,1,toForest,1,0,0
68,1,0,0,1,1,toTown,3,0,0
68,2,0,0,1,0,toTown,8,0,0
68,3,0,0,1,0,toMarket,8,0,0
68,4,0,0,1,0,toMarket,8,0,0
68,5,0,0,0,0,toMarket,8,0,0
68,6,0,1,1,0,toMarket,8,0,0
68,7,0,0,0,0,toTown,5,0,0
68,8,1,0,0,0,toCave,6,0,0
68,9,1,0,1,0,toTown,7,0,0
68,10,1,0,1,0,toTown,2,0,0
68,11,1,0,1,0,toTown,2,0,0
68,12,1,0,0,0,toTown,2,0,0
68,13,1,0,0,0,toTown,2,0,0
68,14,1,0,0,0,toTown,2,0,0
69,0,0,0,0,1,toForest,1,0,0
69,1,0,0,1,1,toTown,3,0,0
69,2,0,0,1,0,toTown,8,0,0
69,3,0,1,1,0,toMarket,8,0,0
69,4,0,1,1,0,toTown,5,0,0
69,5,1,0,0,0,toCave,6,0,0
69,6,1,0,0,0,toTown,7,0,0
69,7,1,0,0,0,toTown,2,0,0
69,8,1,0,0,0,toTown,2,0,0
69,9,1,0,0,0,toTown,2,0,0
70,0,0,0,0,1,toForest,1,0,0
70,1,0,0,1,1,toTown,3,0,0
70,2,0,1,1,0,toTown,8,0,0
70,3,0,0,1,0,toTown,5,0,0
70,4,1,0,1,0,toCave,6,0,0
70,5,1,0,1,1,toTown,8,0,0
70,6,1,0,0,1,toTown,2,0,0
70,7,1,0,0,0,toTown,2,0,0
70,8,1,0,0,0,toTown,2,0,0
70,9,1,0,0,0,toTown,2,0,0
70,10,1,0,0,0,toTown,2,0,0
70,11,1,0,0,0,toTown,2,0,0
70,12,1,0,0,0,toTown,2,0,0
70,13,1,0,1,0,toTown,2,0,0
70,14,1,0,1,0,toTown,2,0,0
71,0,0,0,0,1,toForest,1,0,0
71,1,0,0,1,0,toTown,3,0,0
71,2,0,0,1,0,toTown,8,0,0
71,3,0,0,0,0,toMarket,8,0,0
71,4,0,0,0,0,toMarket,8,0,0
71,5,0,0,0,0,toMarket,8,0,0
71,6,0,0,0,0,toMarket,8,0,0
71,7,0,1,1,0,toMarket,8,0,0
71,8,0,1,1,0,toTown,5,0,0
71,9,1,0,0,1,toCave,6,0,0
71,10,1,0,0,1,toTown,7,0,0
71,11,1,0,1,1,toTown,2,0,0
71,12,1,1,1,0,toTown,2,0,0
71,13,1,0,0,0,toTown,2,0,0
71,14,1,0,0,0,toTown,2,0,0
72,0,0,0,0,1,toForest,1,0,0
72,1,0,0,1,1,toTown,3,0,0
72,2,0,0,1,0,toTown,8,0,0
72,3,0,0,0,0,toMarket,8,0,0
72,4,0,1,1,0,toMarket,8,0,0
72,5,0,1,1,0,toTown,5,0,0
72,6,1,1,0,0,toCave,6,0,0
72,7,1,0,0,0,toTown,7,0,0
72,8,1,0,0,0,toTown,2,0,0
72,9,1,0,1,0,toTown,2,0,0
72,10,1,0,0,0,toTown,2,0,0
72,11,1,0,0,0,toTown,2,0,0
72,12,1,0,1,0,toTown,2,0,0
72,13,1,0,1,0,toTown,2,0,0
72,14,1,0,1,0,toTown,2,0,0
73,0,0,0,0,1,toForest,1,0,0
73,1,0,0,1,1,toTown,3,0,0
73,2,0,0,1,0,toTown,8,0,0
73,3,0,0,0,0,toMarket,8,0,0
73,4,0,1,1,0,toMarket,8,0,0
73,5,0,1,1,0,toTown,5,0,0
73,6,1,0,1,0,toCave,6,0,0
73,7,1,0,0,0,toTown,8,0,0
73,8,1,1,1,0,toTown,2,0,0
73,9,1,1,0,0,toTown,2,0,0
73,10,1,1,1,0,toTown,2,0,0
73,11,1,1,1,0,toTown,2,0,0
74,0,0,0,0,1,toForest,1,0,0
74,1,0,0,1,1,toTown,3,0,0
74,2,0,0,1,0,toTown,8,0,0
74,3,0,0,0,0,toMarket,8,0,0
74,4,0,0,0,1,toMarket,8,0,0
74,5,0,0,1,1,toMarket,8,0,0
74,6,0,0,0,0,toMarket,8,0,0
74,7,0,1,0,0,toMarket,8,0,0
74,8,0,0,0,0,toMarket,5,0,0
74,9,1,0,0,1,toCave,6,0,0
74,10,1,0,0,0,toTown,7,0,0
74,11,1,0,1,0,toTown,2,0,0
74,12,1,0,1,0,toTown,2,0,0
74,13,1,0,0,0,toTown,2,0,0
74,14,1,0,0,0,toTown,2,0,0
75,0,0,0,0,1,toForest,1,0,0
75,1,0,0,1,0,toTown,3,0,0
75,2,0,0,1,0,toTown,8,0,0
75,3,0,1,1,0,toMarket,8,0,0
75,4,0,1,1,0,toTown,5,0,0
75,5,1,0,0,1,toCave,6,0,0
75,6,1,0,0,0,toTown,7,0,0
75,7,1,0,0,0,toTown,2,0,0
75,8,1,0,0,0,toTown,2,0,0
75,9,1,0,1,0,toTown,2,0,0
75,10,1,0,1,0,toTown,2,0,0
75,11,1,0,0,0,toTown,2,0,0
75,12,1,0,0,0,toTown,2,0,0
75,13,1,0,1,0,toTown,2,0,0
75,14,1,0,1,0,toTown,2,0,0
